# Ag_JC_EC, m=1.000000, gscat=0.000000
# 1 0 0 2 3 = columns for wave, Re(n), Im(n), eps1, eps2    
#    #LAMBDA(um)     eps1(Real)     eps2(Imag)
     0.30000000    -3.83049358     0.02077189
     0.30200000    -3.89511364     0.02119010
     0.30400000    -3.96016303     0.02161388
     0.30600000    -4.02564176     0.02204328
     0.30800000    -4.09154983     0.02247832
     0.31000000    -4.15788723     0.02291906
     0.31200000    -4.22465397     0.02336551
     0.31400000    -4.29185004     0.02381773
     0.31600000    -4.35947544     0.02427574
     0.31800000    -4.42753018     0.02473959
     0.32000000    -4.49601425     0.02520931
     0.32200000    -4.56492764     0.02568494
     0.32400000    -4.63427037     0.02616652
     0.32600000    -4.70404243     0.02665407
     0.32800000    -4.77424382     0.02714764
     0.33000000    -4.84487453     0.02764727
     0.33200000    -4.91593458     0.02815300
     0.33400000    -4.98742394     0.02866485
     0.33600000    -5.05934264     0.02918287
     0.33800000    -5.13169066     0.02970709
     0.34000000    -5.20446801     0.03023755
     0.34200000    -5.27767468     0.03077429
     0.34400000    -5.35131067     0.03131735
     0.34600000    -5.42537598     0.03186675
     0.34800000    -5.49987062     0.03242255
     0.35000000    -5.57479458     0.03298477
     0.35200000    -5.65014786     0.03355345
     0.35400000    -5.72593046     0.03412863
     0.35600000    -5.80214237     0.03471034
     0.35800000    -5.87878361     0.03529863
     0.36000000    -5.95585416     0.03589353
     0.36200000    -6.03335403     0.03649507
     0.36400000    -6.11128321     0.03710330
     0.36600000    -6.18964171     0.03771825
     0.36800000    -6.26842953     0.03833995
     0.37000000    -6.34764665     0.03896845
     0.37200000    -6.42729309     0.03960379
     0.37400000    -6.50736884     0.04024598
     0.37600000    -6.58787391     0.04089509
     0.37800000    -6.66880828     0.04155113
     0.38000000    -6.75017196     0.04221416
     0.38200000    -6.83196495     0.04288420
     0.38400000    -6.91418725     0.04356129
     0.38600000    -6.99683886     0.04424547
     0.38800000    -7.07991977     0.04493678
     0.39000000    -7.16342999     0.04563525
     0.39200000    -7.24736951     0.04634093
     0.39400000    -7.33173834     0.04705384
     0.39600000    -7.41653647     0.04777402
     0.39800000    -7.50176390     0.04850152
     0.40000000    -7.58742063     0.04923636
     0.40200000    -7.67350667     0.04997859
     0.40400000    -7.76002200     0.05072824
     0.40600000    -7.84696663     0.05148534
     0.40800000    -7.93434056     0.05224995
     0.41000000    -8.02214379     0.05302208
     0.41200000    -8.11037631     0.05380179
     0.41400000    -8.19903813     0.05458910
     0.41600000    -8.28812924     0.05538406
     0.41800000    -8.37764965     0.05618669
     0.42000000    -8.46759935     0.05699705
